id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
232085.0;2019-08-26;segunda-feira;19:00:00;262.0;114.9;CONCEICAO DO CASTELO;Animais na Pista;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-20.32545;-41.21078
231348.0;2019-08-27;terça-feira;20:40:00;101.0;214.3;IBIRACU;Desobediência às normas de trânsito pelo condutor;Colisão lateral;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;2;0;1;0;0;1;1;2;-19.829629999999998;-40.37588
231243.0;2019-08-27;terça-feira;14:30:00;101.0;149.0;LINHARES;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Sim;2;0;0;0;2;0;0;2;-19.40682;-40.06425
231543.0;2019-08-28;quarta-feira;18:30:00;262.0;106.0;VENDA NOVA DO IMIGRANTE;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;2;0;0;1;1;0;1;2;-20.32621;-41.144420000000004
231558.0;2019-08-28;quarta-feira;18:08:00;101.0;255.0;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Interseção de vias;Sim;2;0;1;0;1;0;1;2;-20.11488;-40.31944
239895.0;2019-08-28;quarta-feira;16:30:00;101.0;0.5;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Sim;2;0;1;0;1;0;1;2;-20.23337;-40.27554
231741.0;2019-08-29;quinta-feira;18:30:00;259.0;86.8;BAIXO GUANDU;Objeto estático sobre o leito carroçável;Colisão traseira;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;2;1;0;0;0;1;0;1;-19.512710000000002;-40.88595
232738.0;2019-08-29;quinta-feira;17:30:00;482.0;100.0;GUACUI;Defeito na Via;Queda de ocupante de veículo;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Curva;Não;1;0;1;0;0;0;1;1;-20.77683;-41.63177
231772.0;2019-08-29;quinta-feira;21:30:00;101.0;176.0;ARACRUZ;Falta de Atenção à Condução;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-19.59524;-40.19835
231749.0;2019-08-29;quinta-feira;19:05:00;101.0;82.7;SAO MATEUS;Ingestão de Álcool;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;3;0;2;0;1;0;2;3;-18.836170000000003;-39.917759999999994
243983.0;2019-08-29;quinta-feira;06:50:00;101.0;264.0;SERRA;Falta de Atenção à Condução;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Ignorado;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-20.17829;-40.26546
231708.0;2019-08-29;quinta-feira;16:25:00;101.0;256.6;SERRA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Decrescente;Nublado;Múltipla;Não Informado;Sim;2;1;0;0;1;0;0;1;-20.1228;-40.3055
231707.0;2019-08-29;quinta-feira;16:00:00;101.0;245.5;SERRA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Desvio Temporário;Não;1;0;1;0;0;0;1;1;-20.05454;-40.3819
231678.0;2019-08-29;quinta-feira;12:20:00;101.0;208.0;JOAO NEIVA;Falta de Atenção à Condução;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;Não;1;0;1;0;0;0;1;1;-19.7808;-40.37161
231642.0;2019-08-29;quinta-feira;09:50:00;101.0;266.5;SERRA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;Sim;2;0;0;0;2;0;0;2;-20.1902;-40.26829
231619.0;2019-08-29;quinta-feira;08:10:00;101.0;306.0;VIANA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-20.39179;-40.46265
231724.0;2019-08-29;quinta-feira;16:30:00;101.0;20.0;PINHEIROS;Defeito na Via;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Não;1;0;1;0;0;0;1;1;-18.32561;-39.95844
231877.0;2019-08-30;sexta-feira;09:15:00;262.0;6.0;CARIACICA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;3;0;1;1;1;0;2;2;-20.34007;-40.39451
231892.0;2019-08-30;sexta-feira;09:40:00;101.0;268.5;SERRA;Restrição de Visibilidade;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;2;0;0;1;1;0;1;1;-20.20842;-40.2694
231923.0;2019-08-30;sexta-feira;11:30:00;101.0;270.7;SERRA;Desobediência às normas de trânsito pelo condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;0;1;0;0;1;1;-20.22662;-40.27075
231930.0;2019-08-30;sexta-feira;11:30:00;101.0;14.4;PEDRO CANARIO;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Curva;Não;2;0;0;2;0;0;2;1;-18.28229;-39.95688
231947.0;2019-08-30;sexta-feira;12:50:00;101.0;270.0;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;0;1;0;1;0;1;2;-20.22662;-40.27075
231977.0;2019-08-30;sexta-feira;15:00:00;101.0;242.4;SERRA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;1;1;0;0;2;1;-20.03213;-40.39676
231957.0;2019-08-30;sexta-feira;13:50:00;101.0;135.5;LINHARES;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Não Informado;Não;2;0;1;0;1;0;1;2;-19.27504;-40.08788
231984.0;2019-08-30;sexta-feira;15:45:00;101.0;407.9;ITAPEMIRIM;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Curva;Não;1;0;1;0;0;0;1;1;-20.892789999999998;-41.03049
232077.0;2019-08-30;sexta-feira;20:40:00;259.0;56.6;COLATINA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;3;0;0;2;1;0;2;2;-19.501279999999998;-40.65265
232090.0;2019-08-30;sexta-feira;21:45:00;101.0;263.0;SERRA;Falta de Atenção à Condução;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;1;0;0;1;0;0;1;1;-20.16555;-40.27302
232093.0;2019-08-30;sexta-feira;21:35:00;262.0;5.4;CARIACICA;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;5;0;0;0;5;0;0;3;-20.337139999999998;-40.391009999999994
232099.0;2019-08-30;sexta-feira;22:00:00;262.0;134.2;BREJETUBA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;1;0;0;1;0;0;1;1;-20.240289999999998;-41.325390000000006
232113.0;2019-08-30;sexta-feira;23:40:00;101.0;213.6;IBIRACU;Falta de Atenção à Condução;Colisão com objeto estático;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Rotatória;Sim;2;0;1;1;0;0;2;1;-19.82846;-40.368359999999996
232114.0;2019-08-30;sexta-feira;23:50:00;262.0;116.7;CONCEICAO DO CASTELO;Velocidade Incompatível;Colisão com objeto estático;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;2;0;0;2;0;0;2;1;-20.317629999999998;-41.22741
