id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
260565.0;2020-01-03;sexta-feira;12:10:00;101.0;204.8;JOAO NEIVA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Pleno dia;Decrescente;Nublado;Simples;Interseção de vias;Sim;2;0;0;0;2;0;0;2;-19.74948916;-40.37922678
260522.0;2020-01-03;sexta-feira;08:00:00;101.0;269.1;SERRA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;0;1;1;0;1;2;-20.21740496;-40.26990578
260483.0;2020-01-03;sexta-feira;00:10:00;101.0;220.7;IBIRACU;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Reta;Não;1;0;1;0;0;0;1;1;-19.86715386;-40.40119171
260599.0;2020-01-03;sexta-feira;14:30:00;101.0;264;SERRA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Interseção de vias;Sim;2;0;1;0;0;1;1;2;-20.17292791;-40.26736384
260875.0;2020-01-04;sábado;20:00:00;101.0;360.9;ANCHIETA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Curva;Não;1;0;1;0;0;0;1;1;-20.7043621;-40.71735486
260906.0;2020-01-04;sábado;23:45:00;101.0;147;LINHARES;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;2;0;0;0;2;1;-19.37887202;-40.06657892
260904.0;2020-01-04;sábado;22:45:00;101.0;334.7;GUARAPARI;Ingestão de Álcool;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Não;3;0;0;0;2;1;0;2;-20.6213791;-40.52011191
260859.0;2020-01-04;sábado;18:10:00;101.0;140.3;LINHARES;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-19.31817306;-40.07552313
260810.0;2020-01-04;sábado;14:30:00;262.0;120;CONCEICAO DO CASTELO;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Não Informado;Não;4;0;2;0;2;0;2;2;-20.300399;-41.23049498
260756.0;2020-01-04;sábado;08:50:00;262.0;49;MARECHAL FLORIANO;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-20.41251052;-40.69798571
